Customer Question,Our Response
How did you add features to your model?,We used domain knowledge in this instance to implement features geared towards our goal of detecting malicious URLs. 
What should you do with outlier data?,"Tactics to address outlier data include removal, capping/flooring, and transformation. "
How could you make this model better?,"There are several ways we can improve on these models, including 1) Enhance data collection and verification. Strategies for obtaining higher quality data include sourcing from reputable sources, implementing an ensemble of machine learning methods to verify label accuracy in isolated testing environments, and/or with human intervention. 2) Enhance data quality through comprehensive outlier detection and anomaly treatment. As mentioned early in the study, multiple outliers and anomalies were detected, and this warrants a granular exmination of each data point, as they can heavily impact feature scaling and normalization. 3) Expansion of feature space and hyperparemeter optimization. Incorporating additional features, such as originating country detection and common character patterns, could better capture complex and deeply embedded malicious URLs. In addition, implementing regularization techniques such as L1, L2, and dropout can mitigate overfitting and potentially improve model performance."
How long did you train the models?,"We deployed 100 boosting rounds (n_estimators) for our XG Boost model, and 10 epochs for our neural network model. "
Which is the better model?,"XGBoost exhibits superior performance across multiple metrics. This could be attributed to the neural network's susceptibility to overfitting, where it achieves high accuracy on training data but struggles to generalize on new unseen data."
What does XG stand for?,"XG stands for eXtreme Gradient Boosting, which is a machine learning algorithm that deploys emsemble learning with decision trees. "
What does TF stand for?,"TF stands for Tensorflow, a popular Python deep learning library"
What do the results of the scanner mean?,"The resulting output for the user-inputted URL is headed by the prediction classification (either in green for 'Benign' or red for malicious), followed by a list of all the classes and the probability prediction for each class."
What type of loss function did you use?,We deployed mean squared error and cross-entropy loss functions in this project. 
What type of activation functions did you use?,We used ReLu and Softmax as our activation functions for this project. 
What is the result of your project?,"While initial evaluation metrics indicate high accuracy on both models, the low recall suggests potential overfitting, characterized by a large amount of false negatives. This implies the models perform well on training data but may struggle with generalizing new unseen data. We recognize the need for further refinement to ensure the model's robustness and its ability to accurately identify malicious actors in various scenarios."
Is your project open source?,Yes this project is open source and can be found in our public Github repository. 
Where is your project hosted?,The APIs for this project are hosted in containers on AWS. The frontend user interface is hosted on Vercel. 
